cell_key,minimum_dQ_100_10,variance_dQ_100_10,skewness_dQ_100_10,kurtosis_dQ_100_10,slope_lin_fit_2_100,intercept_lin_fit_2_100,discharge_capacity_2,diff_discharge_capacity_max_2,minimun_IR,diff_IR_100_2,integral_tem_2_100,mean_charge_time_2_6,minimum_dQ_5_4,variance_dQ_5_4,cycle_550_clf,cycle_life
b1c0,-4.720901416,-11.63156963,-0.31923796,-0.094314049,-0.000206807,1.091143732,1.0706892,0.4683652,0.016443744,-9.24E-05,188366.0232,13.374894,-10.13454487,-14.09657494,1,1852
b1c1,-4.709131623,-11.82556162,-1.148990796,0.037822521,5.54E-06,1.08096458,1.0753012,0.0092883,0,-3.39E-05,181854.6049,13.40915,-7.553861318,-13.57182411,1,2160
b1c2,-4.57522295,-11.40213136,-0.82671684,0.16019437,1.03E-05,1.08484612,1.0799223,0.0081312,0,-9.44E-06,182681.2837,13.35824233,-6.613649592,-13.34195905,1,2237
b1c3,-3.922042315,-10.09993884,-0.741645592,0.117088883,1.71E-05,1.084075016,1.0797229,0.0065301,0,4.42E-05,170926.9226,12.02513967,-5.754550405,-13.2367201,1,1434
b1c4,-4.230762205,-10.60289605,-1.052154236,0.308339953,1.90E-05,1.081874821,1.0784167,0.0058999,0,-3.62E-05,178664.7971,12.04185067,-6.37600195,-14.21254918,1,1709
b1c5,-3.646456015,-9.569157052,-1.956895507,0.175937333,1.12E-05,1.079754795,1.0761266,0.0059438,0.015922785,-0.000124425,172762.8906,10.96784967,-6.869041643,-15.91752418,1,1074
b1c6,-3.256383072,-8.683699788,-0.932786828,0.1906367,-4.81E-06,1.081157026,1.0758358,0.0063032,0,-0.000334108,176722.1163,10.076479,-6.686293053,-14.25523729,1,636
b1c7,-3.290064642,-8.800098887,-1.17538358,0.106526149,-6.43E-06,1.09725427,1.0938644,0.0041042,0,-3.73E-05,175364.0859,10.02508167,-6.778233015,-15.33915589,1,870
b1c9,-3.518567797,-9.161168129,-0.77747535,0.186400304,1.82E-05,1.086771425,1.0829742,0.0059757,0.016611163,-2.50E-05,169470.7701,11.207956,-12.16919564,-12.89086379,1,1054
b1c11,-3.681597182,-9.438460972,-0.501675776,0.168603746,2.18E-05,1.058971606,1.0537786,0.0094604,0,-0.000304448,184880.0182,11.668876,-8.32591412,-15.04983241,1,788
b1c14,-3.564755569,-9.322565806,-1.333795714,0.26100428,2.62E-05,1.074764977,1.0709661,0.0068777,0.016649306,-7.51E-05,185058.5822,10.764334,-8.487881405,-15.17675501,1,880
b1c15,-3.54627029,-9.26829089,-0.762566594,0.20547834,2.90E-05,1.066175368,1.0611236,0.0082151,0.016542939,-0.000246553,185381.9269,10.79770567,-11.19853324,-15.12418375,1,719
b1c16,-3.590715146,-9.444263006,-2.498030488,0.213237674,2.32E-05,1.085288383,1.0811664,0.0074255,0,-2.62E-05,177251.0398,10.11310767,-8.2749385,-15.58249857,1,862
b1c17,-3.498826071,-9.203934827,-1.204921191,0.250492198,1.79E-05,1.076194039,1.072052,0.0071738,0.016238289,1.49E-05,163149.179,10.14688067,-11.02878328,-14.56177269,1,857
b1c18,-3.138602914,-8.436675781,-2.727604573,0.324339979,-0.000294542,1.101465004,1.0661705,1.817914,0.015845969,-0.003991769,5089077.624,9.958173667,-8.911639944,-12.81124411,1,691
b1c19,-3.108572363,-8.368446499,-1.241121892,0.273697124,-1.04E-05,1.08889662,1.0851147,0.0041907,0.016205151,-7.29E-05,167260.298,9.924738333,-9.733158713,-13.05815979,1,788
